,Title,Published_date,Views,Likes,Comments,Month
150,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5554,251,112,Jul
151,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8159,247,200,Jul
152,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1848,98,27,Jul
153,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28702,559,90,Jul
154,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,307846,6934,412,Jul
155,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30073,1123,121,Jul
156,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3607,135,50,Jul
157,The Best Computer for Data Science Beginners,2020-07-10,36832,841,157,Jul
158,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6139,228,82,Jul
159,Critiquing MY OWN Data Science Resume,2020-07-06,12554,396,88,Jul
160,Where to Start Learning Data Science,2020-07-03,18549,781,126,Jul
161,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4083,197,37,Jul
162,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4550,178,54,Jun
163,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15976,547,79,Jun
164,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2392,82,40,Jun
165,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2378,139,49,Jun
166,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4309,168,46,Jun
167,Why You're Struggling to Learn Data Science,2020-06-12,15185,1010,159,Jun
168,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11322,351,70,Jun
169,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23207,675,146,Jun
